ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return
OCSL,Oaktree Specialty Lending Corpo,Financial Services,,,,,7.43,0.06639201390240812,1340082176,,1.45,1.464,0.12,11.257575,5.0751367,,,
ODP,The ODP Corporation,Consumer Cyclical,,,,,42.98,0.04663662309950323,2190832384,,2.04,1.563,0.12300000000000001,10.508557,27.498402,,,
OEG,"Orbital Energy Group, Inc.",Utilities,,,,,1.29,-0.12911129304861513,85981336,,,-0.924,0.25,-9.923077,,,,
OESX,"Orion Energy Systems, Inc.",Industrials,,,,,2.89,0.01141133506844727,89799528,,2.24,1.027,0.25,6.4222226,2.8140216,,,
OFIX,Orthofix Medical Inc.,Healthcare,,,,,31.12,-0.029675422682399533,614473728,,1.07,-0.763,0.094,37.95122,,,,
OFS,OFS Capital Corporation,Financial Services,,,,,9.74,0.06373045845692249,130701056,,1.89,3.819,0.068,9.365385,2.5504057,,,
OIIM,O2Micro International Limited,Technology,,,,,4.09,-0.022019396824750292,116606312,,0.78,0.488,0.19,9.295455,8.381147,,,
OKTA,"Okta, Inc.",Technology,,,,,168.93,0.21799474061592725,26276046848,,1.06,-4.814,0.25,-344.75507,,,,
OLED,Universal Display Corporation,Technology,,,,,135.9,0.11882534035375647,6404382208,,1.36,4.029,0.32789999999999997,26.235521,33.730453,,,
OLLI,Ollie's Bargain Outlet Holdings,Consumer Defensive,,,,,41.0,0.06843313765697179,2588129024,,1.24,2.693,0.042,17.083332,15.224656,,,
OLPX,"Olaplex Holdings, Inc.",Consumer Cyclical,,,,,16.93,-0.036283958321646104,10972755968,,,0.187,0.373,35.270836,90.53476,,,
OM,"Outset Medical, Inc.",Healthcare,,,,,41.17,-0.038047722197022904,1938872192,,,-2.703,-0.912,-16.534136,,,,
OMAB,Grupo Aeroportuario del Centro ,Industrials,,,,,59.71,0.18365956104047743,2920851968,,0.94,2.08,0.03,17.158045,28.706732,,,
OMER,Omeros Corporation,Healthcare,,,,,6.63,0.0029118584938123693,414655456,,0.68,-1.994,0.85,-3.8546512,,,,
OMIC,"Singular Genomics Systems, Inc.",Healthcare,,,,,7.76,-0.118426164105937,559173952,,,-2.75,0.131,-5.878788,,,,
ON,ON Semiconductor Corporation,Technology,,,,,58.44,0.20412489775641807,25177937920,,1.74,1.532,0.5545,17.92638,38.146214,,26.16,
ONB,Old National Bancorp,Financial Services,,,,,18.11,0.07073891684658662,3002891520,,0.87,1.77,0.08,11.248447,10.231639,,,
ONEM,"1Life Healthcare, Inc.",Healthcare,,,,,9.51,-0.0807411492169533,1815354368,,1.7,-1.19,-0.4607,-5.52907,,,,
OPBK,OP Bancorp,Financial Services,,,,,13.53,0.2625928676411198,204754896,,0.49,1.541,0.1,8.101796,8.780013,,,
OPCH,"Option Care Health, Inc.",Healthcare,,,,,23.19,-0.01228035152556739,4171301632,,1.86,0.451,0.1,25.766668,51.41907,,,
OPI,Office Properties Income Trust,Real Estate,,,,,25.09,-0.051089070306029605,1215000832,,1.21,-0.556,0.05,-66.02631,,,,
OPK,"Opko Health, Inc.",Healthcare,,,,,3.02,-0.047245332202079604,2057649792,,1.87,0.118,0.12,60.399998,25.59322,,,
OPRA,Opera Limited,Communication Services,,,,,6.17,-0.07259752857376911,710450816,,1.09,0.826,0.84,11.64151,7.469734,,,
OPRT,Oportun Financial Corporation,Financial Services,,,,,16.63,0.0028089942951852187,472348512,,1.29,1.424,-0.038,6.299242,11.6783695,,,
OPRX,OptimizeRx Corporation,Healthcare,,,,,41.65,0.33027177413785824,740099712,,0.57,0.067,0.5,49.0,621.6418,,,
OPTN,"OptiNose, Inc.",Healthcare,,,,,2.74,-0.1760522040659318,225226912,,0.92,-1.71,0.7440000000000001,-4.28125,,,,
ORGO,Organogenesis Holdings Inc.,Healthcare,,,,,6.78,-0.03567703564087832,872206336,,1.59,0.463,0.6134000000000001,14.425532,14.643629,,,
ORPH,Orphazyme A/S,Healthcare,,,,,1.99,-0.14657888324505197,71576920,,0.75,-3.883,0.578,-0.7928287,,,,
OSBC,"Old Second Bancorp, Inc.",Financial Services,,,,,14.05,0.27915568382791967,657704384,,1.28,1.26,0.07,11.806723,11.150794,,,
OSIS,"OSI Systems, Inc.",Technology,,,,,80.37,0.04083709742941033,1442006656,,0.7,4.559,0.08,12.538222,17.628866,,,
OSPN,OneSpan Inc.,Technology,,,,,15.73,0.05407448228284717,628657280,,0.54,-0.47,0.02,-121.0,,,,
OSTK,"Overstock.com, Inc.",Consumer Cyclical,,,,,36.45,0.18404510750320724,1567878528,,4.25,7.683,0.46799999999999997,12.482877,4.7442408,,,
OSUR,"OraSure Technologies, Inc.",Healthcare,,,,,7.86,-0.028636047259883668,566221824,,-0.33,-0.157,0.2,30.23077,,,,
OTEX,Open Text Corporation,Technology,,,,,42.5,0.1232153529852653,11541512192,,0.98,1.24,0.0931,9.361234,34.274193,,14.99,
OTIC,"Otonomy, Inc.",Healthcare,,,,,2.02,-0.1925628542051393,114496224,,1.77,-0.81,0.204,-2.6933334,,,,
OTLY,Oatly Group AB,Consumer Defensive,,,,,6.83,-0.10276350263338419,4041837056,,,-0.326,0.149,-26.269232,,,,
OTRK,"Ontrak, Inc.",Healthcare,,,,,2.44,-0.1626582695706903,46762112,,2.03,-1.583,0.3,-0.96062994,,,,
OTTR,Otter Tail Corporation,Utilities,,,,,61.17,0.14706945619852774,2541001728,,0.4,3.446,0.09,18.87963,17.751015,,,
OXSQ,Oxford Square Capital Corp.,Financial Services,,,,,3.95,0.04263511527822028,196138432,,1.31,1.592,0.05,11.285714,2.4811559,,,
OZK,Bank OZK,Financial Services,,,,,47.03,0.1463895730382454,6053325312,,1.66,4.24,0.12,12.507978,11.091982,,,
PAA,"Plains All American Pipeline, L",Energy,,,,,9.95,-0.0694900364387514,7075663360,,2.1,-0.118,-0.20309999999999997,7.59542,,,,
PAAS,Pan American Silver Corp.,Basic Materials,,,,,23.49,0.00771653337499445,4940252160,,1.1,1.2,0.1714,10.628959,19.574999,,,
PACB,Pacific Biosciences of Californ,Healthcare,,,,,10.32,0.08775720647413587,2276571392,,1.16,-0.189,-0.01,-9.297297,,,,
PACW,PacWest Bancorp,Financial Services,,,,,48.29,0.12260817415911941,5958986240,,1.5,4.953,0.1,11.230232,9.749647,,27.62,
PAGP,"Plains GP Holdings, L.P.",Energy,,,,,10.62,-0.11136901604406058,2061788032,,2.03,-1.204,-0.2952,9.925233,,,,
PAHC,Phibro Animal Health Corporatio,Healthcare,,,,,20.63,0.03179743758168452,835589248,,0.57,1.2,0.017,16.637096,17.191666,,,
PANW,"Palo Alto Networks, Inc.",Technology,,,,,475.51,0.24503621422294297,46916861952,,1.37,-5.265,0.2634,53.011147,,,14.17,
PATK,"Patrick Industries, Inc.",Consumer Cyclical,,,,,68.3,0.3804398568995913,1615704832,,2.2,8.647,0.095,6.816367,7.898693,,,
PAX,Patria Investments Limited,Financial Services,,,,,16.79,-0.021617456109203737,2285925120,,,0.957,0.4224,15.126126,17.54441,,,
PAYA,Paya Holdings Inc.,Technology,,,,,6.08,-0.04514455766256198,802681600,,-0.11,-0.06,0.26780000000000004,15.2,,,,
PBPB,Potbelly Corporation,Consumer Cyclical,,,,,5.35,-0.16049627567450783,153816784,,1.45,-1.422,0.04,267.5,,,,
PBYI,Puma Biotechnology Inc,Healthcare,,,,,2.13,-0.17162848003154685,87086336,,0.92,-1.198,2.325,-8.192308,,,,
PCH,PotlatchDeltic Corporation - Co,Real Estate,,,,,53.21,0.10250921839797102,3674720000,,1.24,7.168,0.05,19.5625,7.4232697,,,
PCOM,Points.com Inc.,Communication Services,,,,,18.0,0.07106154966130251,268970400,,1.91,-0.189,0.25,52.941177,,,,
PCRX,"Pacira BioSciences, Inc.",Healthcare,,,,,62.71,0.1951115199886115,2793385472,,0.97,1.357,0.361,15.716792,46.21223,,,
PCSA,"Processa Pharmaceuticals, Inc.",Healthcare,,,,,3.39,-0.3014357402688407,53277240,,-0.28,-1.535,0.15,-3.808989,,,,
PCTI,"PCTEL, Inc.",Technology,,,,,4.9,-0.011934645523775878,89373064,,0.28,0.094,0.1,14.000001,52.127663,,,
PCTY,Paylocity Holding Corporation,Technology,,,,,196.34,0.23369393550461104,10803863552,,1.34,1.59,0.2,68.89123,123.48427,,,
PCVX,"Vaxcyte, Inc.",Healthcare,,,,,20.5,-0.02404854152787439,1082094592,,,-1.791,0.11800000000000001,-9.111111,,,,
PCYG,"Park City Group, Inc.",Technology,,,,,6.46,0.07111207666418773,125317544,,1.1,0.2,0.22,23.925924,32.3,,,
PDCE,"PDC Energy, Inc.",Energy,,,,,52.98,0.03945969361792834,5159250944,,3.21,0.426,0.272,5.287425,124.366196,,,
PDCO,"Patterson Companies, Inc.",Healthcare,,,,,29.36,0.018651548720314937,2862482688,,1.51,1.63,0.0679,13.345454,18.01227,,,
PDD,Pinduoduo Inc.,Consumer Cyclical,,,,,54.4,0.0737638133207228,68178976768,,1.43,-0.035,-0.3729,40.296295,,,,
PDFS,"PDF Solutions, Inc.",Technology,,,,,25.54,0.14165560625790485,953798976,,1.37,-1.296,0.2,91.21429,,,,
PDSB,PDS Biotechnology Corporation,Healthcare,,,,,5.87,-0.3039802852097495,166930464,,1.83,-0.608,0.8640000000000001,-6.905882,,,,
PEBO,Peoples Bancorp Inc.,Financial Services,,,,,32.04,0.11131604410329876,905850944,,0.88,2.025,0.08,10.368933,15.822222,,,
PECO,"Phillips Edison & Company, Inc.",Real Estate,,,,,31.47,0.1852852743290334,3739013632,,0.03,0.092,0.049,68.41304,342.06522,,,
PEGA,Pegasystems Inc.,Technology,,,,,79.66,0.18954051763233903,6506254336,,1.14,-0.268,0.08,91.563225,,,,
PETQ,"PetIQ, Inc.",Healthcare,,,,,18.23,-0.02432357420134057,531132864,,1.46,-0.209,0.25,12.234899,,,,
PETS,"PetMed Express, Inc.",Healthcare,,,,,24.99,0.11235812772090359,523363072,,0.54,1.239,-0.0002,18.108696,20.169493,,,
PFBC,Preferred Bank,Financial Services,,,,,77.93,0.24610956632201897,1143950080,,1.4,6.008,0.1,11.807576,12.971039,,,
PFC,Premier Financial Corp.,Financial Services,,,,,30.18,0.14258617196719103,1116005120,,1.37,3.52,0.09,10.479166,8.573864,,,
PFIE,"Profire Energy, Inc.",Energy,,,,,1.17,-0.012735731588983112,56283784,,1.31,-0.02,0.21,117.0,,,,
PFMT,Performant Financial Corporatio,Industrials,,,,,2.48,-0.1352021916310251,171477872,,-0.72,-0.069,0.2,-20.666668,,,,
PFSW,"PFSweb, Inc.",Industrials,,,,,11.35,0.1506392063165991,239486144,,1.74,-0.38,0.2,20.267859,,,,
PFX,PhenixFIN Corporation,Financial Services,,,,,40.93,-0.15631685491496794,103029816,,1.74,0.477,0.05,40.93,85.80713,,,
PGC,Peapack-Gladstone Financial Cor,Financial Services,,,,,37.72,0.12682609064822437,702897152,,1.17,2.306,0.012,12.012739,16.357328,,,
PGEN,"Precigen, Inc.",Healthcare,,,,,2.03,-0.22119775932858254,419678144,,2.29,-0.565,0.024,-3.4406781,,,,
PGNY,"Progyny, Inc.",Healthcare,,,,,36.17,0.08539050516111522,3270863872,,1.71,0.907,0.602,64.58928,39.87872,,,
PHVS,Pharvaris N.V.,Healthcare,,,,,16.9906,-0.052057287464882245,562874816,,,-4.112,0.0911,-6.7962403,,,,
PI,"Impinj, Inc.",Technology,,,,,66.28,0.13941896329621395,1666584064,,2.32,-1.97,0.1,315.61905,,,,
PINC,"Premier, Inc.",Healthcare,,,,,35.81,0.01796956228503488,4363806720,,0.29,2.128,0.056900000000000006,13.262963,16.828009,,,
PKBK,"Parke Bancorp, Inc.",Financial Services,,,,,24.07,0.2179916465066416,286290976,,0.82,3.212,0.263,,7.4937735,,,
PKOH,Park-Ohio Holdings Corp.,Industrials,,,,,16.19,-0.010232668878176754,203995632,,1.18,-0.117,0.13,9.251429,,,,
PLAB,"Photronics, Inc.",Technology,,,,,18.57,0.09892324477365477,1130922240,,0.88,0.89,0.1,12.38,20.865168,,,
PLAY,"Dave & Buster's Entertainment, ",Communication Services,,,,,41.47,0.09373594164967593,2008093568,,2.0,0.534,0.0458,14.550879,77.65918,,,
PLBY,"PLBY Group, Inc.",Consumer Cyclical,,,,,15.11,0.04339980323133452,625254784,,,-1.528,0.3,41.97222,,,,
PLCE,"Children's Place, Inc. (The)",Consumer Cyclical,,,,,61.46,0.03321699951680812,882682368,,2.18,10.475,-0.071,5.7118955,5.867303,,,
PLMR,"Palomar Holdings, Inc.",Financial Services,,,,,56.45,0.11510021426065986,1434693760,,-0.07,1.043,1.1985,19.532871,54.122726,,,
PLTK,Playtika Holding Corp.,Communication Services,,,,,17.56,-0.05941522042034498,7193172480,,,0.696,0.8578,16.411213,25.229885,,,
PLUG,"Plug Power, Inc.",Industrials,,,,,20.74,0.23863084570946458,11953623040,,1.57,-1.443,-0.4,-82.96,,,,
PLUS,ePlus inc.,Technology,,,,,45.01,0.19996478469286938,1216030592,,1.3,3.425,0.05,12.067023,13.141605,,,
PLXP,PLx Pharma Inc.,Healthcare,,,,,4.99,-0.2675730041061841,137410128,,4.6,-3.102,0.4,-2.2177777,,,,
PLXS,Plexus Corp.,Technology,,,,,79.78,0.08139391161196041,2234605824,,1.12,4.76,0.08130000000000001,12.368993,16.760504,,,
PLYA,Playa Hotels & Resorts N.V.,Consumer Cyclical,,,,,8.45,-0.019030114697097367,1388174336,,2.03,-1.049,-1.307,105.625,,,,
PMD,Psychemedics Corporation,Healthcare,,,,,7.05,0.00526915210664014,39072724,,0.77,0.072,0.2,,97.91667,,,
PMTS,CPI Card Group Inc.,Financial Services,,,,,13.66,-0.11592048966901691,153750128,,1.24,1.94,0.13,6.413145,7.041237,,,
PMVP,"PMV Pharmaceuticals, Inc.",Healthcare,,,,,15.24,-0.08613132403150459,691597312,,,-1.107,0.231,-9.525,,,,
PNFP,"Pinnacle Financial Partners, In",Financial Services,,,,,96.56,0.19932366184559114,7351730688,,1.28,6.457,0.322,15.424919,14.954313,,,
PNNT,PennantPark Investment Corporat,Financial Services,,,,,7.54,0.07321734625855147,505520064,,1.97,2.485,0.34,11.253731,3.0342054,,,
PNTG,"The Pennant Group, Inc.",Healthcare,,,,,13.88,-0.008323498218453573,395262144,,2.43,0.291,0.41,18.025974,47.697594,,,
PODD,Insulet Corporation,Healthcare,,,,,234.54,0.2790139536703833,16175589376,,0.7,-0.441,2.102,171.19707,,,,
POWI,"Power Integrations, Inc.",Technology,,,,,87.75,0.17223593185608935,5294106624,,0.98,2.458,0.2529,26.75305,35.699757,,,
POWL,"Powell Industries, Inc.",Industrials,,,,,22.4,-0.019167016989689145,262622080,,1.2,0.05,0.1,30.68493,448.0,,,
PPBI,Pacific Premier Bancorp Inc,Financial Services,,,,,38.58,0.18852171423448194,3640220160,,1.26,3.386,0.08,12.649181,11.393976,,,
PPC,Pilgrim's Pride Corporation,Consumer Defensive,,,,,24.06,0.17362994180461722,5862844416,,1.12,-0.023,0.35700000000000004,9.289576,,,,
PPSI,"Pioneer Power Solutions, Inc.",Industrials,,,,,6.03,0.04279599929679079,58132460,,-0.64,-0.173,0.06,9.885246,,,,
PRAA,"PRA Group, Inc.",Financial Services,,,,,46.02,0.07177346253629291,2007070336,,1.31,3.901,0.36,15.088525,11.796975,,,
PRAX,"Praxis Precision Medicines, Inc",Healthcare,,,,,12.99,-0.07326314221131591,582676800,,,-3.472,0.133,-2.8995535,,,,
PRDO,Perdoceo Education Corporation,Consumer Defensive,,,,,10.11,-0.012971110131019814,708766592,,1.16,1.569,0.15,5.877907,6.4435945,,,
PRFT,"Perficient, Inc.",Technology,,,,,98.61,0.23342730317170535,3248055552,,1.46,1.657,0.18,24.46898,59.511166,,,
PRGS,Progress Software Corporation,Technology,,,,,43.6,0.07171715890033914,1911532928,,1.16,1.819,0.02,10.582524,23.969213,,,
PRIM,Primoris Services Corporation,Industrials,,,,,25.4,0.052664370543357375,1367048320,,1.26,2.283,0.1,10.325203,11.125711,,,
PRLD,Prelude Therapeutics Incorporat,Healthcare,,,,,10.34,-0.08878276791133599,488207232,,,-2.176,0.301,-3.0773811,,,,
PROV,"Provident Financial Holdings, I",Financial Services,,,,,16.7,0.07710831986538103,124461936,,0.59,1.149,-0.13,15.045046,14.534378,,,
PRPL,"Purple Innovation, Inc.",Consumer Cyclical,,,,,5.67,-0.05030107601697519,379482912,,1.5,-1.043,0.132,20.25,,,,
PRPO,"Precipio, Inc.",Healthcare,,,,,1.3,-0.37141942372050574,29520788,,2.45,-0.357,0.2,-6.190476,,,,
PRSO,Peraso Inc.,Technology,,,,,2.32,-0.4413790861125094,45828584,,,-0.115,0.3,,,,,
PRTA,Prothena Corporation plc,Healthcare,,,,,34.15,inf,1591178368,,1.22,1.532,-0.006,-16.577671,22.291124,,,
PRTK,"Paratek Pharmaceuticals, Inc.",Healthcare,,,,,3.69,-0.17410016801244566,185197040,,1.47,-1.097,-1.222,41.0,,,,
PRTS,"CarParts.com, Inc.",Consumer Cyclical,,,,,7.74,0.04613902769783418,386149376,,2.61,-0.175,0.15,-45.52941,,,,
PRVA,"Privia Health Group, Inc.",Healthcare,,,,,25.08,0.008695235518380251,2670994944,,,-1.721,-0.09380000000000001,1254.0,,,,
PSEC,Prospect Capital Corporation,Financial Services,,,,,8.18,0.08949653432960414,3189103872,,0.92,2.554,0.05,11.054054,3.2028193,,,
PSHG,Performance Shipping Inc.,Industrials,,,,,2.67,-0.6886632282110664,13570889,,0.75,-2.054,0.1,1.8040541,,,,
PSMT,"PriceSmart, Inc.",Consumer Defensive,,,,,70.56,0.011350457325909336,2177657856,,0.86,3.18,0.15,17.465345,22.188679,,,
PSNL,"Personalis, Inc.",Healthcare,,,,,9.59,-0.10316485940773179,429477600,,1.63,-1.376,-0.14800000000000002,-4.2622223,,,,
PSTX,"Poseida Therapeutics, Inc.",Healthcare,,,,,3.62,-0.13451406088548457,226272800,,,-2.618,0.027000000000000003,-1.442231,,,,
PTCT,"PTC Therapeutics, Inc.",Healthcare,,,,,38.45,0.0883474657054746,2718334464,,0.89,-6.501,-0.0951,-8.233405,,,,
PTE,"PolarityTE, Inc.",Healthcare,,,,,0.424,-0.4059337152138709,34739376,,0.95,-0.488,0.15,-1.2470587,,,,
PTEN,"Patterson-UTI Energy, Inc.",Energy,,,,,13.06,-0.03008904094639142,2809362688,,3.02,-2.122,-0.213,-16.123457,,,,
PTMN,Portman Ridge Finance Corporati,Financial Services,,,,,24.4,-0.08995705868043637,236195168,,1.14,9.849,0.15,7.7460313,2.477409,,,
PTNR,Partner Communications Company ,Communication Services,,,,,7.59,0.0021134152162383124,1402009600,,0.77,-0.023,0.02,,,,,
PTON,"Peloton Interactive, Inc.",Consumer Cyclical,,,,,28.55,0.010336455791735144,9427152896,,0.95,-2.136,-0.6076,-33.988094,,,,
PTRA,Proterra Inc,Consumer Cyclical,,,,,8.16,-0.018347295024270682,1781385088,,,-3.461,-2.388,-15.396227,,,,
PTSI,"P.A.M. Transportation Services,",Industrials,,,,,66.57,0.32599118903808405,743407168,,1.46,5.449,0.2,9.245833,12.216921,,,
PTVE,Pactiv Evergreen Inc.,Consumer Cyclical,,,,,10.25,-0.00514782095226185,1816822784,,,1.286,0.735,8.2,7.970451,,,
PWFL,"PowerFleet, Inc.",Technology,,,,,3.52,-0.05380832044715134,126554912,,1.82,-0.411,0.3,-39.11111,,,,
PXLW,"Pixelworks, Inc.",Technology,,,,,3.06,0.02544989285288235,162876144,,2.28,-0.46,0.15,-16.999998,,,,
PYCR,"Paycor HCM, Inc.",Technology,,,,,25.03,-0.0039862941548645114,4365983232,,,-0.854,0.0271,104.29167,,,,
PYXS,"Pyxis Oncology, Inc.",Healthcare,,,,,6.36,-0.07041668505036747,208378416,,,-45.588,-0.746,-2.513834,,,,
PZZA,"Papa John's International, Inc.",Consumer Cyclical,,,,,111.01,0.2088807763532494,4036756736,,0.94,-0.325,0.15,30.247957,,,,
QCRH,"QCR Holdings, Inc.",Financial Services,,,,,56.59,0.19273654755110806,882668160,,1.14,5.631,0.1,9.216613,10.049725,,,
QDEL,Quidel Corporation,Healthcare,,,,,103.09,0.2183948316791191,4297399296,,-0.24,20.65,0.07200000000000001,14.121917,4.992252,,,
QLYS,"Qualys, Inc.",Technology,,,,,113.01,0.23085066164794063,4387511808,,0.69,1.802,0.08,33.93694,62.71365,,,
QMCO,Quantum Corporation,Technology,,,,,2.65,-0.19104440663015743,157463008,,2.19,-0.648,0.2,11.041667,,,,
QNST,"QuinStreet, Inc.",Communication Services,,,,,10.76,-0.0028362844383260644,583648256,,0.73,0.223,0.25,11.569893,48.25112,,,
QRHC,Quest Resource Holding Corporat,Industrials,,,,,7.12,-0.06266656958176364,135428800,,1.3,0.122,0.15,50.857143,58.360653,,,
QRTEA,Liberty Interactive Corporation,Consumer Cyclical,,,,,6.12,-0.04883263052551179,2428379136,,1.84,2.9,-0.08,3.06,2.1103446,,,
QUIK,QuickLogic Corporation,Technology,,,,,5.09,-0.1819835289114239,60039604,,2.44,-0.701,0.2,-31.812502,,,,
QUMU,Qumu Corporation,Technology,,,,,1.89,-0.15857140607989162,33607980,,1.54,-1.091,0.15,-2.423077,,,,
RAIL,"Freightcar America, Inc.",Industrials,,,,,3.91,-0.17119240025742943,62353552,,2.34,-3.184,0.03,-14.481482,,,,
RANI,"Rani Therapeutics Holdings, Inc",Healthcare,,,,,13.34,0.019474377106535323,262956752,,,-1.007,-0.442,-9.666667,,,,
RARE,Ultragenyx Pharmaceutical Inc.,Healthcare,,,,,66.92,0.04706325914545095,4561414144,,1.68,-5.321,0.172,-11.7197895,,,,
RAVE,"Rave Restaurant Group, Inc.",Consumer Cyclical,,,,,1.04,-0.1347111556510916,18725096,,0.8,0.096,0.1,-6.933333,10.833333,,,
RBBN,Ribbon Communications Inc.,Communication Services,,,,,3.37,-0.1351779769920911,500866208,,0.94,0.281,0.12,6.2407403,11.992883,,,
RBCAA,"Republic Bancorp, Inc.",Financial Services,,,,,47.43,0.08677145252121864,958465472,,0.63,4.317,0.1,13.629311,10.986796,,,
RBCN,"Rubicon Technology, Inc.",Technology,,,,,9.01,-0.2288554348921854,22035578,,0.33,-0.49,0.2,-22.525,,,,
RCEL,"Avita Medical, Inc.",Healthcare,,,,,8.59,-0.10131950408846724,214106608,,0.42,-0.19,1.275,-6.8174605,,,,
RCII,Rent-A-Center Inc.,Industrials,,,,,37.71,0.02935355580387977,2494146816,,1.48,2.799,0.34299999999999997,5.3112674,13.472669,,,
RCKT,"Rocket Pharmaceuticals, Inc.",Healthcare,,,,,17.91,-0.028845260364188552,1154166912,,1.47,-3.035,0.10800000000000001,-5.930464,,,,
RCKY,"Rocky Brands, Inc.",Consumer Cyclical,,,,,39.92,0.15472047603234595,291423968,,0.69,2.401,0.1,7.3789277,16.626404,,,
RCM,R1 RCM Inc.,Healthcare,,,,,25.86,0.2512082050434501,7178839552,,0.71,-2.189,0.25,53.875004,,,,
RCMT,"RCM Technologies, Inc.",Industrials,,,,,6.8,0.1306402082660656,71291200,,1.75,0.287,0.15,13.076924,23.69338,,,
RDCM,Radcom Ltd.,Communication Services,,,,,11.54,0.09633883580283475,162717456,,1.06,-0.314,0.15,-67.882355,,,,
RDFN,Redfin Corporation,Real Estate,,,,,23.67,0.008727477388233318,2496735232,,1.72,-0.738,1.5930000000000002,-20.059322,,,,
RDNT,"RadNet, Inc.",Healthcare,,,,,23.0,0.23050390918363473,1229044096,,1.69,0.66,0.15,32.857143,34.848484,,,
RDUS,"Radius Health, Inc.",Healthcare,,,,,6.95,-0.014094642950948422,329028288,,1.22,-1.615,0.29600000000000004,-99.28571,,,,
RDWR,Radware Ltd.,Technology,,,,,30.86,0.06190759566149495,1419519872,,0.91,0.34,0.15,35.471264,90.76471,,,
REAL,"The RealReal, Inc.",Consumer Cyclical,,,,,7.98,-0.12075378883715693,737254656,,2.55,-2.595,0.386,-7.0,,,,
REDU,RISE Education Cayman Ltd,Consumer Defensive,,,,,0.86,-0.2562741426441666,48575296,,1.39,-0.148,0.2457,1.34375,,,,
REED,"Reeds, Inc.",Consumer Defensive,,,,,0.26,-0.16131352638076435,24369616,,1.36,-0.172,0.2,-1.7333332,,,,
REFR,Research Frontiers Incorporated,Technology,,,,,1.84,-0.06491404451698424,58236736,,0.73,-0.062,0.3,-30.666668,,,,
