ticker,name,sector,Earnings_expectation,irv_status,capm_status,esg_status,current_price,annu_return_10y,market_cap,marketcap_cat,beta,eps_ttm,growth_estimate_5y,pe_forward,pe_trailing,irv_FairValue,ESG_risk,capm_expected_return
37,CAT,"Caterpillar, Inc.",Industrials,,,,,193.16,0.0842141713736195,104488361984.0,,0.9,9.348,0.3224,17.721102,20.663244,,34.28,
38,CBOE,"Cboe Global Markets, Inc.",Financial Services,,,,,117.06,0.1719068310739824,12483629056.0,,0.63,4.184,0.0747,19.542572,27.97801,,19.55,
39,CBRE,CBRE Group Inc,Real Estate,,,,,99.53,0.1828078828087709,33309304832.0,,1.4,4.29,0.11,17.647163,23.200466,,6.99,
40,CCI,Crown Castle International Corp,Real Estate,,,,,162.985,0.1526914137245023,70442606592.0,,0.54,2.871,0.179,49.24018,56.769417,,13.2,
41,CDW,CDW Corporation,Technology,,,,,181.94,0.2680672706048848,24693444608.0,,1.1,7.116,0.131,19.97146,25.567734,,9.14,
42,CE,Celanese Corporation Celanese C,Basic Materials,,,,,142.86,0.1334707248134681,15553310720.0,,1.27,24.792,0.2942,9.058972,5.762343,,30.53,
43,CFG,"Citizens Financial Group, Inc.",Financial Services,,,,,53.3,0.1115865321603521,22716459008.0,,1.59,4.98,-0.0276,13.128078,10.702811,,22.21,
44,CHD,"Church & Dwight Company, Inc.",Consumer Defensive,,,,,97.2337,0.1682981034290656,24308426752.0,,0.41,3.278,0.0775,30.290873,29.662508,,19.66,
45,CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,,,,,92.095,0.0552390426398146,11971152896.0,,0.76,5.646,0.1239,15.222314,16.311548,,19.83,
46,CL,Colgate-Palmolive Company,Consumer Defensive,,,,,79.09,0.078620327000878,66660925440.0,,0.62,3.14,0.0612,23.330381,25.187897,,22.12,
47,CLX,Clorox Company (The),Consumer Defensive,,,,,148.22,0.1107803091640773,18210754560.0,,0.2,3.467,-0.0174,22.22189,42.75166,,21.87,
48,CMCSA,Comcast Corporation,Communication Services,,,,,47.12,0.1420381383526512,215287513088.0,,0.94,3.109,0.181,12.769648,15.155998,,24.8,
49,CMI,Cummins Inc.,Industrials,,,,,216.06,0.0860946008782228,30903492608.0,,1.03,15.211,0.1852,11.83242,14.204194,,19.36,
50,CNP,"CenterPoint Energy, Inc (Holdin",Utilities,,,,,27.295,0.0791149614852311,17164897280.0,,0.96,1.573,0.018,19.358156,17.352194,,25.56,
51,COF,Capital One Financial Corporati,Financial Services,,,,,153.68,0.1401971758806155,65409589248.0,,1.65,26.739,0.452,7.9585705,5.74741,,23.22,
52,COP,ConocoPhillips,Energy,,,,,89.27,0.0808561275088817,117742665728.0,,1.62,3.687,-0.018,11.444871,24.212095,,34.87,
53,COST,Costco Wholesale Corporation,Consumer Defensive,,,,,506.94,0.2279735109916361,224793411584.0,,0.68,11.63,0.0998,36.313755,43.588993,,23.31,
54,CRL,Charles River Laboratories Inte,Healthcare,,,,,288.495,0.2319964706405615,14558727168.0,,1.17,7.721,0.1556,25.174084,37.36498,,999.0,
55,CSCO,"Cisco Systems, Inc.",Technology,,,,,56.545,0.1408466552533662,238484750336.0,,0.98,2.69,0.0655,15.365488,21.020445,,11.83,
56,CTLT,"Catalent, Inc.",Healthcare,,,,,97.61,0.1718035335453003,16709660672.0,,1.34,3.177,0.1617,23.240477,30.723953,,999.0,
57,CTSH,Cognizant Technology Solutions ,Technology,,,,,85.76,0.0985981027300706,45567635456.0,,1.13,3.545,0.1398,18.973452,24.19182,,17.47,
58,CTVA,"Corteva, Inc.",Basic Materials,,,,,50.785,0.0618904501478869,37017645056.0,,0.79,2.202,0.2487,19.608109,23.063126,,999.0,
59,CTXS,"Citrix Systems, Inc.",Technology,,,,,101.73,0.0600366708223845,12688071680.0,,0.04,2.518,0.065,19.377144,40.401115,,14.57,
60,CVX,Chevron Corporation,Energy,,,,,134.37,0.0649476270629207,259023699968.0,,1.27,5.173,-0.049,14.129336,25.975256,,43.22,
61,D,"Dominion Energy, Inc.",Utilities,,,,,79.46,0.0877723190227146,64355287040.0,,0.44,3.171,0.069,19.239708,25.05834,,28.24,
62,DE,Deere & Company,Industrials,,,,,365.94,0.1835522508016662,112492519424.0,,0.98,18.99,0.1244,14.567675,19.270142,,16.87,
63,DG,Dollar General Corporation,Consumer Defensive,,,,,196.275,0.1749110725096878,45478092800.0,,0.5,10.231,0.0662,17.446667,19.184341,,17.11,
64,DGX,Quest Diagnostics Incorporated,Healthcare,,,,,131.475,0.1090674967172384,16128696320.0,,1.02,16.633,-0.0778,14.957338,7.9044676,,20.9,
65,DHI,"D.R. Horton, Inc.",Consumer Cyclical,,,,,81.3366,0.2046218235894776,28970551296.0,,1.63,11.41,0.106,5.326562,7.1285367,,22.55,
66,DHR,Danaher Corporation,Healthcare,,,,,266.27,0.2602390341673422,190270423040.0,,0.7,7.882,0.223,26.259367,33.782032,,17.73,
67,DISCA,"Discovery, Inc. - Series A",Communication Services,,,,,29.66,0.027716406388246,14750569472.0,,1.31,1.495,0.0354,9.26875,19.839464,,17.36,
68,DLTR,"Dollar Tree, Inc.",Consumer Defensive,,,,,140.32,0.1228496647982188,31565828096.0,,0.75,5.942,0.149,18.784473,23.614946,,15.08,
69,DRE,Duke Realty Corporation,Real Estate,,,,,53.08,0.1850075631629011,20215517184.0,,0.62,2.436,0.06,73.72222,21.78982,,13.37,
70,DTE,DTE Energy Company,Utilities,,,,,118.785,0.139227828425362,23011862528.0,,0.69,4.515,0.0672,20.065035,26.308971,,25.56,
71,EA,Electronic Arts Inc.,Communication Services,,,,,128.54,0.2233185736868945,36352139264.0,,0.87,2.715,0.2701,17.070383,47.344383,,10.36,
72,EFX,"Equifax, Inc.",Industrials,,,,,210.83,0.1881711355811717,25721681920.0,,1.43,5.654,0.136,23.957954,37.288647,,25.71,
73,EPAM,"EPAM Systems, Inc.",Technology,,,,,428.835,0.408648851251653,24323348480.0,,1.43,7.211,0.285,38.391674,59.46956,,999.0,
74,EQIX,"Equinix, Inc.",Real Estate,,,,,681.02,0.1989202102803438,61319860224.0,,0.36,4.743,0.37,88.10091,143.58423,,14.71,
75,EQR,Equity Residential,Real Estate,,,,,85.31,0.0905074331809703,31992614912.0,,0.81,2.823,0.065,58.83448,30.219624,,10.97,
76,ESS,"Essex Property Trust, Inc.",Real Estate,,,,,316.765,0.1182308222442856,20617537536.0,,0.75,6.87,0.079,61.98924,46.108444,,13.89,
77,ETN,"Eaton Corporation, PLC",Industrials,,,,,153.15,0.2085585907530887,61045587968.0,,1.21,5.153,0.2123999999999999,20.640162,29.72055,,17.19,
78,ETR,Entergy Corporation,Utilities,,,,,105.055,0.0920090957258779,21114058752.0,,0.61,6.179,0.06,16.570189,17.001942,,30.28,
79,EXR,Extra Space Storage Inc,Real Estate,,,,,187.16,0.2556068942265075,25059227648.0,,0.32,5.384,0.06,33.601437,34.76226,,13.94,
80,F,Ford Motor Company,Consumer Cyclical,,,,,17.43,0.0741291633472234,69654462464.0,,1.08,0.713,0.7767000000000001,8.758794,24.446003,,29.57,
81,FB,"Meta Platforms, Inc.",Communication Services,,,,,202.61,0.1814897171893461,563612418048.0,,1.28,13.974,0.2135,14.23823,14.49907,,32.44,
82,FCX,"Freeport-McMoRan, Inc.",Basic Materials,,,,,42.74,0.0189448325592931,62762409984.0,,2.07,2.641,0.289,12.039437,16.183264,,34.5,
83,FDX,FedEx Corporation,Industrials,,,,,217.96,0.1001744301602545,57752641536.0,,1.29,18.181,0.1755999999999999,9.468288,11.98834,,20.45,
84,FIS,Fidelity National Information S,Technology,,,,,95.35,0.1354485422366014,58062143488.0,,0.75,0.36,0.1503999999999999,12.902571,264.86108,,18.23,
85,FITB,Fifth Third Bancorp,Financial Services,,,,,48.41,0.1656818988203749,33040113664.0,,1.45,3.618,-0.0298,14.450747,13.380321,,18.68,
86,FRC,FIRST REPUBLIC BANK,Financial Services,,,,,169.665,0.2117214720803757,30418558976.0,,1.11,7.263,0.1598,20.590412,23.36018,,23.82,
87,GD,General Dynamics Corporation,Industrials,,,,,219.79,0.1478916102306549,61370421248.0,,1.08,11.652,0.0855,17.653814,18.862854,,34.88,
88,GIS,"General Mills, Inc.",Consumer Defensive,,,,,67.64,0.0947896822280149,40800919552.0,,0.51,3.628,0.0463,17.255102,18.64388,,21.66,
89,GLW,Corning Incorporated,Technology,,,,,41.48,0.1463355903351557,35399364608.0,,1.08,1.004,0.2214,17.87931,41.314743,,19.42,
90,GOOG,Alphabet Inc.,Communication Services,,,,,2595.39,0.2400254442263678,1722620051456.0,,1.07,103.805,0.21,23.111217,25.002552,,999.0,
91,GPC,Genuine Parts Company,Consumer Cyclical,,,,,124.89,0.1037173682166246,17787082752.0,,1.08,5.609,0.046,17.202478,22.266,,12.53,
92,GWW,"W.W. Grainger, Inc.",Industrials,,,,,474.32,0.1062721479898664,24436967424.0,,1.24,17.495,0.1538,20.304794,27.111746,,14.6,
93,HAS,"Hasbro, Inc.",Consumer Cyclical,,,,,95.715,0.1364855370588302,13203597312.0,,1.02,3.278,0.177,17.857275,29.199205,,10.44,
94,HCA,"HCA Healthcare, Inc.",Healthcare,,,,,245.2,0.2744381894053309,76262842368.0,,1.65,19.533,0.1571,13.112299,12.553115,,26.54,
95,HD,"Home Depot, Inc. (The)",Consumer Cyclical,,,,,317.585,0.2377151404099131,331634966528.0,,0.99,14.955,0.1369999999999999,19.61612,21.23604,,11.45,
96,HIG,Hartford Financial Services Gro,Financial Services,,,,,70.825,0.1551232455440254,24105498624.0,,1.07,6.009,0.1158,10.089031,11.786487,,16.38,
97,HII,"Huntington Ingalls Industries, ",Industrials,,,,,187.305,0.1940538379528021,7503625216.0,,1.01,16.668,0.0069999999999999,12.837902,11.237401,,999.0,
98,HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,,,,,147.955,0.1344915909581223,41238310912.0,,1.23,0.14,2.7265,34.40814,1056.8214,,19.95,
99,HOLX,"Hologic, Inc.",Healthcare,,,,,70.496,0.1283660116368967,17724174336.0,,1.11,7.21,0.0409999999999999,18.216022,9.777532,,28.58,
100,HWM,Howmet Aerospace Inc.,Industrials,,,,,34.795,0.0631642977500477,14865048576.0,,1.61,0.661,0.3354999999999999,24.85357,52.639935,,999.0,
101,ICE,Intercontinental Exchange Inc.,Financial Services,,,,,123.4759,0.1735719135990589,69566816256.0,,0.82,5.421,0.1142,22.24791,22.777328,,16.56,
102,IDXX,"IDEXX Laboratories, Inc.",Healthcare,,,,,489.56,0.27228967237564,41511555072.0,,0.94,8.718,0.243,52.025505,56.15508,,20.74,
103,IFF,International Flavors & Fragran,Basic Materials,,,,,134.77,0.1117413704383867,34305300480.0,,1.04,1.167,0.0449,25.476372,115.484146,,22.82,
104,IPG,"Interpublic Group of Companies,",Communication Services,,,,,36.645,0.1641630126635039,14429152256.0,,1.01,1.771,0.174,14.040231,20.6917,,15.38,
105,IPGP,IPG Photonics Corporation,Technology,,,,,136.34,0.0929417530569183,7268135424.0,,1.34,4.869,0.315,23.305983,28.001642,,11.92,
106,IQV,"IQVIA Holdings, Inc.",Healthcare,,,,,226.16,0.1830655705625421,43205607424.0,,1.4,3.929,0.2213,22.281775,57.56172,,19.24,
107,IR,Ingersoll Rand Inc.,Industrials,,,,,53.31,0.1232993133200039,21728356352.0,,1.47,0.987,0.2177,23.077923,54.01216,,999.0,
108,IRM,Iron Mountain Incorporated (Del,Real Estate,,,,,42.972,0.1233977359195881,12442543104.0,,0.83,2.197,0.0644,26.043636,19.559399,,15.14,
109,ISRG,"Intuitive Surgical, Inc.",Healthcare,,,,,283.35,0.1754675227400099,101223104512.0,,1.09,4.638,0.1721,50.870735,61.093143,,29.8,
110,IT,"Gartner, Inc.",Technology,,,,,283.9,0.2161615577347677,23347652608.0,,1.55,8.025,0.216,39.81767,35.37695,,23.51,
111,IVZ,Invesco Ltd,Financial Services,,,,,22.0725,0.0300917899875601,10179991552.0,,1.23,2.53,0.213,7.9112906,8.724308,,20.28,
112,J,Jacobs Engineering Group Inc.,Industrials,,,,,120.31,0.1019264299772033,15574490112.0,,0.82,3.196,0.1303,14.636252,37.64393,,25.36,
113,JCI,Johnson Controls International ,Industrials,,,,,65.595,0.1438477849059087,46200659968.0,,1.1,2.272,0.1932999999999999,18.741428,28.871038,,13.64,
114,JKHY,"Jack Henry & Associates, Inc.",Technology,,,,,171.61,0.1904137770103917,12706176000.0,,0.6,4.302,0.14,33.32233,39.890747,,16.2,
115,JNJ,Johnson & Johnson,Healthcare,,,,,162.21,0.1277361078460306,427034083328.0,,0.72,6.691,0.0819,15.627168,24.243013,,27.29,
116,JPM,JP Morgan Chase & Co.,Financial Services,,,,,153.01,0.1806177831341479,463366291456.0,,1.12,15.809,0.1057,12.782789,9.678663,,29.33,
117,K,Kellogg Company,Consumer Defensive,,,,,66.39,0.0561869166441801,22647156736.0,,0.59,3.668,0.0315,15.959135,18.099781,,26.78,
118,KEY,KeyCorp,Financial Services,,,,,25.775,0.1569472573613026,23998019584.0,,1.47,2.567,0.146,12.697044,10.040904,,23.31,
119,KHC,The Kraft Heinz Company,Consumer Defensive,,,,,39.79,-0.0351456713289297,48704548864.0,,1.08,1.858,-0.0243999999999999,15.071969,21.4155,,34.47,
120,KIM,Kimco Realty Corporation,Real Estate,,,,,23.885,0.0777910050903145,14723383296.0,,1.51,2.019,0.046,35.649254,11.830113,,13.14,
121,KLAC,KLA Corporation,Technology,,,,,355.47,0.277946843944943,53897072640.0,,1.21,17.618,0.1963,16.735876,20.176523,,16.91,
122,L,Loews Corporation,Financial Services,,,,,61.57,0.0524594205066959,15619323904.0,,0.94,6.151,0.1402999999999999,21.231033,10.009754,,15.48,
123,LEN,Lennar Corporation,Consumer Cyclical,,,,,87.5507,0.1527788515053423,26527424512.0,,1.5,14.27,0.237,5.1319284,6.1352973,,24.53,
124,LH,Laboratory Corporation of Ameri,Healthcare,,,,,266.785,0.1172950485964656,25531324416.0,,1.01,28.187,-0.09,15.244858,9.464825,,15.53,
125,LHX,"L3Harris Technologies, Inc.",Industrials,,,,,220.65,0.2039613823546302,43297042432.0,,0.87,7.514,0.418,16.129385,29.365185,,999.0,
126,LLY,Eli Lilly and Company,Healthcare,,,,,239.287,0.2328838922807234,228900028416.0,,0.36,6.55,0.0708,31.94753,36.532364,,32.31,
127,LNC,Lincoln National Corporation,Financial Services,,,,,69.37,0.133149740096079,12535783424.0,,2.11,6.972,0.4393,6.2271094,9.9498,,16.91,
128,LOW,"Lowe's Companies, Inc.",Consumer Cyclical,,,,,214.99,0.2518283908474499,144848879616.0,,1.29,11.467,0.1669999999999999,16.665892,18.748583,,11.66,
129,LYB,LyondellBasell Industries NV,Basic Materials,,,,,100.59,0.1603404664625103,33474742272.0,,1.47,17.121,0.4700999999999999,6.613412,5.875241,,24.89,
130,MAR,Marriott International,Consumer Cyclical,,,,,172.63,0.1883162631375408,56222658560.0,,1.75,1.428,2.3223,32.44925,120.88936,,22.08,
131,MAS,Masco Corporation,Industrials,,,,,56.46,0.1994488370744669,13781151744.0,,1.34,1.822,0.154,13.637681,30.987925,,25.77,
132,MCD,McDonald's Corporation,Consumer Cyclical,,,,,254.6,0.1296063988585496,190248583168.0,,0.58,9.7,0.216,25.10848,26.247423,,24.42,
133,MCO,Moody's Corporation,Financial Services,,,,,325.24,0.2507558628392856,60462112768.0,,1.18,11.162,0.1252,25.670086,29.138147,,10.59,
134,MDLZ,"Mondelez International, Inc.",Consumer Defensive,,,,,66.61,0.1230613488144356,92918947840.0,,0.72,3.141,0.088,21.487097,21.206621,,23.72,
135,MDT,Medtronic plc.,Healthcare,,,,,104.3,0.1305803864062049,140237619200.0,,0.81,3.468,0.1146,16.93182,30.074972,,23.39,
136,MET,"MetLife, Inc.",Financial Services,,,,,69.59,0.1095010643659904,58536321024.0,,1.26,5.992,0.0834999999999999,9.6652775,11.613817,,14.74,
137,MGM,MGM Resorts International,Consumer Cyclical,,,,,43.04,0.1230929335825821,20184039424.0,,2.39,1.247,-3.83,50.635292,34.514835,,27.71,
138,MHK,"Mohawk Industries, Inc.",Consumer Cyclical,,,,,141.315,0.0824041107483111,9571604480.0,,1.49,49.89534,0.236,9.041266,2.8322284,,13.75,
139,MKTX,"MarketAxess Holdings, Inc.",Financial Services,,,,,375.495,0.2838050988259297,14278760448.0,,0.37,7.31,0.0472,47.591255,51.367306,,999.0,
140,MLM,"Martin Marietta Materials, Inc.",Basic Materials,,,,,383.96,0.1717150084572865,23952154624.0,,0.7,11.65,0.2005,26.031185,32.95794,,32.28,
141,MMC,"Marsh & McLennan Companies, Inc",Financial Services,,,,,152.185,0.1937519446837392,76837445632.0,,0.93,5.29,0.129,22.612926,28.76843,,18.76,
142,MMM,3M Company,Industrials,,,,,147.95,0.0831901301540671,85256626176.0,,0.95,10.111,0.0771999999999999,14.267117,14.632578,,34.88,
143,MNST,Monster Beverage Corporation,Consumer Defensive,,,,,81.915,0.1617419400230388,43344420864.0,,1.09,2.86,0.1421,27.862246,28.64161,,28.26,
144,MO,"Altria Group, Inc.",Consumer Defensive,,,,,51.46,0.1152673816024223,94531502080.0,,0.7,1.494,0.0516999999999999,10.654244,34.444447,,24.59,
145,MPC,Marathon Petroleum Corporation,Energy,,,,,75.66,0.1684502495643836,46575386624.0,,2.08,14.246,0.4379999999999999,17.928911,5.3109646,,28.78,
146,MRK,"Merck & Company, Inc.",Healthcare,,,,,76.295,0.1115446364087311,192716587008.0,,0.49,2.834,0.1533,10.596528,26.92131,,21.91,
147,MSCI,MSCI Inc,Financial Services,,,,,523.32,0.3252811325166258,43146010624.0,,0.97,8.24,0.195,46.934532,63.509712,,12.41,
148,MSI,"Motorola Solutions, Inc.",Technology,,,,,213.72,0.1794982684172765,36096663552.0,,0.77,7.245,0.1414,21.631578,29.498966,,14.89,
149,MTD,"Mettler-Toledo International, I",Healthcare,,,,,1409.94,0.2282091846138112,32408457216.0,,1.03,31.903,0.178,37.779743,44.194588,,13.06,
150,NDSN,Nordson Corporation,Industrials,,,,,229.41,0.1742031011697464,13346293760.0,,0.97,7.74,0.13,23.87201,29.639536,,27.95,
151,NI,NiSource Inc,Utilities,,,,,28.58,0.1573633758233923,11223508992.0,,0.32,1.095,0.0352,19.710344,26.100456,,29.28,
152,NLOK,NortonLifeLock Inc.,Technology,,,,,27.43,0.1452306364005053,15957539840.0,,1.08,1.496,0.127,13.923858,18.335562,,15.23,
153,NLSN,Nielsen N.V.,Industrials,,,,,17.07,-0.0233541703573475,6126883840.0,,1.42,2.183,0.053,9.483334,7.819514,,22.98,
154,NOC,Northrop Grumman Corporation,Industrials,,,,,395.265,0.2314306541308954,62190206976.0,,0.81,28.35,0.06,15.760168,13.942328,,28.49,
155,NTAP,"NetApp, Inc.",Technology,,,,,88.215,0.0953120146855885,19608252416.0,,1.21,4.113,0.088,16.009981,21.447847,,16.58,
156,NTRS,Northern Trust Corporation,Financial Services,,,,,118.05,0.1291335338567207,24514379776.0,,1.16,6.34,0.1866,15.55336,18.619873,,24.39,
157,NUE,Nucor Corporation,Basic Materials,,,,,122.64,0.142525608164252,35050389504.0,,1.44,16.577,0.3499,7.3349285,7.3982024,,36.58,
158,ODFL,"Old Dominion Freight Line, Inc.",Industrials,,,,,287.86,0.31024307766249,33107064832.0,,1.02,8.087,0.2929,27.974731,35.595398,,999.0,
159,OKE,"ONEOK, Inc.",Energy,,,,,60.58,0.1122324461166952,27014862848.0,,1.77,3.195,0.0986,15.85864,18.960876,,24.08,
160,OMC,Omnicom Group Inc.,Communication Services,,,,,84.34,0.0894299744395199,17927225344.0,,0.84,6.42,0.095,13.157566,13.137071,,18.27,
161,ORCL,Oracle Corporation,Technology,,,,,74.26,0.1154127908329325,198307610624.0,,0.81,3.543,0.0964,14.11787,20.959639,,14.47,
162,PBCT,People's,Financial Services,,,,,21.01,0.0994408274059144,8992804864.0,,0.99,0.702,0.1074,19.275229,29.928774,,23.64,
163,PEAK,"Healthpeak Properties, Inc.",Real Estate,,,,,31.58,0.0374960741679717,17023893504.0,,0.72,1.145,0.0289999999999999,85.35135,27.580786,,10.8,
164,PENN,"Penn National Gaming, Inc.",Consumer Cyclical,,,,,45.41,0.177398454718509,7697630720.0,,2.5,2.359,2.395,19.323404,19.249681,,999.0,
165,PFG,Principal Financial Group Inc,Financial Services,,,,,71.68,0.134754665540689,19000145920.0,,1.6,6.22,0.1646999999999999,10.24,11.5241165,,17.0,
166,PHM,"PulteGroup, Inc.",Consumer Cyclical,,,,,46.56,0.1966748262446991,11788340224.0,,1.43,6.465,0.237,5.088525,7.201856,,21.06,
167,PKG,Packaging Corporation of Americ,Consumer Cyclical,,,,,149.69,0.2124283852827722,14219172864.0,,0.92,7.851,0.1639999999999999,16.043945,19.066362,,14.05,
168,PLD,"Prologis, Inc.",Real Estate,,,,,143.46,0.1911403223888705,106063855616.0,,0.81,2.644,-0.0605,62.1039,54.2587,,8.53,
169,PNC,"PNC Financial Services Group, I",Financial Services,,,,,204.41,0.1612103898598125,86392045568.0,,1.34,10.173,-0.0426,14.497163,20.093384,,22.64,
170,PPG,"PPG Industries, Inc.",Basic Materials,,,,,146.96,0.1409603334645248,34888450048.0,,1.15,5.951,0.166,17.878345,24.69501,,24.51,
171,PSA,Public Storage,Real Estate,,,,,342.95,0.1326126532177924,60138000384.0,,0.21,8.371,0.17,37.399128,40.968822,,12.3,
172,PTC,PTC Inc.,Technology,,,,,106.89,0.1490535964869588,12599337984.0,,1.28,4.03,0.1644999999999999,21.124506,26.523571,,19.62,
173,PVH,PVH Corp.,Consumer Cyclical,,,,,98.76,0.0198147940005464,6910987776.0,,2.3,6.999,-0.0604,9.856287,14.110587,,15.52,
